12488,"",CHI PSI FRATERNITY,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC;,"HOLLAND HOUSE, NEW YORK CITY",BOOKLET; ILLUS; 5 X 7.25;,ANNIVERSARY;,FRENCH; EMBOSSED FRATERNITY LETTERS IN GOLD AND BLUE; GOLD AND BLUE RIBBONS; TOASTS;,1900-2876,,,1900-04-20,Chi Psi Fraternity,,,,complete,4,19
12489,"",COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC;,ST. DENIS HOTEL (NEW YORK?),FOLDER; ILLUS; 4 X 5.5;,ANNIVERSARY;,PHOOGRAPH OF ALUMNI CHEMICAL LABORATORY ON COVER; LOGO OF ALUMNI ASSOCIATION ON BACK COVER;,1900-2877,,,1900-04-20,Colby Alumni Association Of New York,,,,complete,4,21
12490,"",HOTEL IMPERIAL,DINNER,COMMERCIAL,"(VIENNA, AUSTRIA ?)",CARD; ILLUS; COL; 4.5 X 8;,"",GERMAN; WINES; ILLUSTRATION OF WOMAN'S HEAD; FLORAL BORDER;,1900-2882,,,1900-04-20,Hotel Imperial,,,,complete,2,16
12491,"",WHITEFRIARS CLUB,SHAKEPEARE COMMEMORATION,SOC;,"ANDERTON'S HOTEL, FLEET STREET, E.C. (ENGLAND?)",CARD; ILLUS; 4.5 X 6.25;,ANNIVERSARY;,FRENCH; ILLUSTRATION OF FRIAR WITH MUSES; ORNAMENTAL BORDER;,1900-2889,,,1900-04-20,Whitefriars Club,,,,complete,2,13
12492,"",WILSON COLLEGE ALUMNAE ASSOCIATION,DINNER,EDUC;,HOEL FLANDERS,"BOOKLET, ILLUS; COL; 5 X 6.25;",ANNIVERSARY;,"PORTRAIT OF HEAD OF COLONIAL WOMAN; SPEECHES; PALE BLUE, WHITE RIBBONS;",1900-2890,,,1900-04-20,Wilson College Alumnae Association,,,,complete,10,14
12493,"",CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,CARD; 4.5 X 7;,"",ITEMS ON MENU ARE NUMBERED; FLAG LOGO;,1900-2891,,,1900-04-20,Canadian Pacific Railway,,,,complete,2,39
12494,"",KNIGHTS OF REVELRY,26TH ANNIVERSARY BANQUET,SOC;,"GERMAN RELIEF HALL, MOBILE AL",BOOKLET; ILLUS; 4.5 X 6.5;,ANNIVERSARY;,WINES; OYSTER AND FORK ON COVER; THEATRICAL MAKS ON INSIDE PAGE;,1900-2892,,,1900-04-21,Knights Of Revelry,,,,complete,8,22
12495,,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL;,ST. DENNIS HOTEL,BOOKLET; ILLUS; 4 X 5.5;,ANNIVERSARY;,EMBOSSED LOGO ON COVER; SPEECHES;,1900-2893,,,1900-04-20,Veterans American Guard,,,,complete,8,20
12497,"",CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,CARD; 4.25 X 6.5;,"",CUNARD LINE LOGO; PRICED WINE LIST ON BACK WITH PRICES IN BRITISH CURRENCY;,1900-2902,,,1900-04-21,Canadian Pacific Railway Company,,,,complete,2,38
12498,"",CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE (NY?),CARD; COL; ILLUS; 5 X 7;,"",PRIX FIXE DINNER; FOOD APPEARS TO BE HUNGARIAN;PALE BLUE; ORNAMENTAL BORDER;,1900-2903,,,1900-04-22,Cafe Boulevard,,Cents,c,complete,2,17
12499,"",PACIFIC MAIL STEAMSHIP CO.,LUNCH;,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,BROADSIDE; 6 X 9;,"",ORNAMENTAL BORDER;,1900-2909,,,1900-04-22,Pacific Mail Steamship Co.,,,,complete,2,14
12500,"",MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC;,MOUQUIN'S,CARD;COL;4X6.5;,ANNIVERSARY;,"",1900-2911,,,1900-04-22,Morning Newspaper Bowling League,,,,complete,2,23
12501,"",CUNARD LINE,BREAKFAST,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2917,,,1900-04-23,Cunard Line,,,,complete,2,97
12502,"",CUNARD LINE,LUNCHEON,COMMERCIAL,RMS LUCANIA,CARD;ILL;COL;4.25X6.5;,DAILY;,WINE LIST ON BACK;FLAG;,1900-2918,,,1900-04-23,Cunard Line,,,,complete,2,90
12503,"",POLICE DEPARTMENT OF THE CITY OF NEW YORK,SEVENTH ANNUAL DINNER,GOVT;,DELMONICO'S,FOL; 4.75 x 7.25;,"","SEAL ON COVER; FRENCH; INCLUDES WINES SERVED WITH EACH COURSE; LIST OF NAMES OF SUPERINTENDENT, INSPECTORS AND PRECINCT CAPTAINS",1888-0010,,,1888-01-23,Police Department Of The City Of New York,,,,complete,3,30
12504,"",U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,"",FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;,1900-1131,,,1900-02-18,U.S.M.S. New York,,Dollars,$,complete,2,99
12505,"",BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,2,203
12506,"",BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,,,1900-02-18,Bartholdi Hotel,,Dollars,$,complete,4,336
12507,"",HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,BROADSHEET; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1140,,,1900-02-19,Haan's,,Dollars,$,complete,2,392
12508,"",MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,"",1900-1141,,,1900-02-19,Marie Antoinette Hotel,,Dollars,$,complete,2,82
12509,"",RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,,,1900-02-20,Red Star Line   S.S.Southwark,,Francs,FF,complete,2,56
12510,"",MARIE ANTOINETTE HOTEL,DINNER,COMMERCIAL,66 ST. & B'WAY. NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,"",1900-1173,,,1900-02-20,Marie Antoinette Hotel,,Dollars,$,complete,2,128
12511,"",THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,ANNUAL DINNER,POL;,"HOTEL SAVOY,NEW YORK,NY",BOOKLET;ILL;COL;4.25X6.25;,ANNIVERSARY;,WINES SERVED;INDIVIDUAL'S NAME ON FRONT COVER;FOUR STANZAS OF THE STAR SPANGLED BANNER WRITTEN OUT;NAMES;SEATING PLAN ATTACHED;,1900-1174,,,1900-02-20,Third Panel Sheriff's Jury New York County,,,,complete,12,35
